CODE,DESCRIPTION
ACHRC14A,"""Intellectual disability, AKA mental retardation condition status recode"""
ALTIME15,"""Duration of other developmental problem (e.g., cerebral palsy): Number of units"""
ALUNIT15,"""Duration of other developmental problem (e.g., cerebral palsy): Time unit"""
ALDURA15,"""Duration (in years) of other developmental problem (eg cerebral palsy), recode 1"""
ALDURB15,"""Duration of other developmental problem (e.g., cerebral palsy), recode 2"""
ALCHRC15,"""Other developmental problem (e.g., cerebral palsy) condition status recode"""
ALTIME16,"""Duration of senility: Number of units"""
ALUNIT16,"""Duration of senility: Time unit"""
ALDURA16,"""Duration (in years) of senility, recode 1"""
ALDURB16,"""Duration of senility, recode 2"""
ALCHRC16,"""Senility condition status recode"""
ALTIME17,"""Duration of depression/anxiety/emotional problem: Number of units"""
ALUNIT17,"""Duration of depression/anxiety/emotional problem: Time unit"""
ALDURA17,"""Duration (in years) of depression/anxiety/emotional problem, recode 1"""
ALDURB17,"""Duration of depression/anxiety/emotional problem, recode 2"""
ALCHRC17,"""Depression/anxiety/emotional problem condition status recode"""
ALTIME18,"""Duration of weight problem: Number of units"""
ALUNIT18,"""Duration of weight problem: Time unit"""
ALDURA18,"""Duration (in years) of weight problem, recode 1"""
ALDURB18,"""Duration of weight problem, recode 2"""
ALCHRC18,"""Weight problem condition status recode"""
ALTIME19,"""Duration of missing limbs (fingers, toes); amputation: Number of units"""
ALUNIT19,"""Duration of missing limbs (fingers, toes, or digits); amputation: Time unit"""
ALDURA19,"""Duration (in years) of missing limbs (fingers, toes); amputation, recode 1"""
ALDURB19,"""Duration of missing limbs (fingers, toes, or digits); amputation, recode 2"""
ALCHRC19,"""Missing limbs (fingers, toes, or digits); amputation condition status recode"""
ALTIME20,"""Duration of musculoskeletal/connective tissue problem: Number of units"""
ALUNIT20,"""Duration of musculoskeletal/connective tissue problem: Time unit"""
ALDURA20,"""Duration (in years) of musculoskeletal/connective tissue problem, recode 1"""
ALDURB20,"""Duration of musculoskeletal/connective tissue problem, recode 2"""
ALCHRC20,"""Musculoskeletal/connective tissue problem condition status recode"""
ALTIME21,"""Duration of circulation problems (including blood clots): Number of units"""
ALUNIT21,"""Duration of circulation problems (including blood clots): Time unit"""
ALDURA21,"""Duration (in years) of circulation problems (including blood clots), recode 1"""
ALDURB21,"""Duration of circulation problems (including blood clots), recode 2"""
ALCHRC21,"""Circulation problems (including blood clots) condition status recode"""
ALTIME22,"""Duration of endocrine/nutritional/metabolic problem: Number of units"""
ALUNIT22,"""Duration of endocrine/nutritional/metabolic problem: Time unit"""
ALDURA22,"""Duration (in years) of endocrine/nutritional/metabolic problem, recode 1"""
ALDURB22,"""Duration of endocrine/nutritional/metabolic problem, recode 2"""
ALCHRC22,"""Endocrine/nutritional/metabolic problem condition status recode"""
ALTIME23,"""Duration of nervous system/sensory organ condition: Number of units"""
ALUNIT23,"""Duration of nervous system/sensory organ condition: Time unit"""
ALDURA23,"""Duration (in years) of nervous system/sensory organ condition, recode 1"""
ALDURB23,"""Duration of nervous system/sensory organ condition, recode 2"""
ALCHRC23,"""Nervous system/sensory organ condition status recode"""
ALTIME24,"""Duration of digestive system problems: Number of units"""
ALUNIT24,"""Duration of digestive system problems: Time unit"""
ALDURA24,"""Duration (in years) of digestive system problems, recode 1"""
ALDURB24,"""Duration of digestive system problems, recode 2"""
ALCHRC24,"""Digestive system problems condition status recode"""
ALTIME25,"""Duration of genitourinary system problem: Number of units"""
ALUNIT25,"""Duration of genitourinary system problem: Time unit"""
ALDURA25,"""Duration (in years) of genitourinary system problem, recode 1"""
ALDURB25,"""Duration of genitourinary system problem, recode 2"""
ALCHRC25,"""Genitourinary system problem condition status recode"""
ALTIME26,"""Duration of skin/subcutaneous system problems: Number of units"""
ALUNIT26,"""Duration of skin/subcutaneous system problems: Time unit"""
ALDURA26,"""Duration (in years) of skin/subcutaneous system problems, recode 1"""
ALDURB26,"""Duration of skin/subcutaneous system problems, recode 2"""
ALCHRC26,"""Skin/subcutaneous system problems condition status recode"""
ALTIME27,"""Duration of blood or blood-forming organ problem: Number of units"""
ALUNIT27,"""Duration of blood or blood-forming organ problem: Time unit"""
ALDURA27,"""Duration (in years) of blood or blood-forming organ problem, recode 1"""
ALDURB27,"""Duration of blood or blood-forming organ problem, recode 2"""
ALCHRC27,"""Blood or blood-forming organ problem condition status recode"""
ALTIME28,"""Duration of benign tumor/cyst: Number of units"""
ALUNIT28,"""Duration of benign tumor/cyst: Time unit"""
ALDURA28,"""Duration (in years) of benign tumor/cyst, recode 1"""
ALDURB28,"""Duration of benign tumor/cyst, recode 2"""
ALCHRC28,"""Benign tumor/cyst condition status recode"""
ALTIME29,"""Duration of alcohol /drug/substance abuse problem: Number of units"""
ALUNIT29,"""Duration of alcohol/drug/substance abuse problem: Time unit"""
ALDURA29,"""Duration (in years) of alcohol/drug/substance abuse problem, recode 1"""
ALDURB29,"""Duration of alcohol/drug/substance abuse problem, recode 2"""
ALCHRC29,"""Alcohol /drug/substance abuse problem condition status recode"""
ALTIME30,"""Duration of other mental problem/ADD/Bipolar/Schizophrenia: Number of units"""
ALUNIT30,"""Duration of other mental problem/ADD/Bipolar/Schizophrenia: Time unit"""
ALDURA30,"""Duration (in years) of other mental problem/ADD/Bipolar/Schizophrenia, recode 1"""
ALDURB30,"""Duration of other mental problem/ADD/Bipolar/Schizophrenia, recode 2"""
ALCHRC30,"""Other mental problem/ADD/Bipolar/Schizophrenia condition status recode"""
ALTIME31,"""Duration of surgical after-effects/medical treatment problems: Number of units"""
ALUNIT31,"""Duration of surgical after-effects/medical treatment problems: Time unit"""
ALDURA31,"""Duration (in years) of surgical after-effects/medical treatment prob, recode 1"""
ALDURB31,"""Duration of surgical after-effects/medical treatment problems, recode 2"""
ALCHRC31,"""Surgical after-effects/medical treatment problems condition status recode"""
ALTIME32,"""Duration of 'old age'/elderly/aging-related problems: Number of units"""
ALUNIT32,"""Duration of 'old age'/elderly/aging-related problems: Time unit"""
ALDURA32,"""Duration (in years) of 'old age'/elderly/aging-related problems, recode 1"""
ALDURB32,"""Duration of 'old age'/elderly/aging-related problems, recode 2"""
ALCHRC32,"""'Old age'/elderly/aging-related problems condition status recode"""
ALTIME33,"""Duration of fatigue/tiredness/weakness problem: Number of units"""
ALUNIT33,"""Duration of fatigue/tiredness/weakness problem: Time unit"""
ALDURA33,"""Duration (in years) of fatigue/tiredness/weakness problem, recode 1"""
ALDURB33,"""Duration of fatigue/tiredness/weakness problem, recode 2"""
ALCHRC33,"""Fatigue/tiredness/weakness problem condition status recode"""
ALTIME34,"""Duration of pregnancy-related problem: Number of units"""
ALUNIT34,"""Duration of pregnancy-related problem: Time unit"""
ALDURA34,"""Duration (in years) of pregnancy-related problem, recode 1"""
ALDURB34,"""Duration of pregnancy-related problem, recode 2"""
ALCHRC34,"""Pregnancy-related condition status recode"""
ALTIME90,"""Duration of other impairment/problem N.E.C. (1): Number of units"""
ALUNIT90,"""Duration of other impairment/problem N.E.C. (1): Time unit"""
ALDURA90,"""Duration (in years) of other impairment/problem N.E.C. (1), recode 1"""
ALDURB90,"""Duration of other impairment/problem N.E.C. (1), recode 2"""
ALCHRC90,"""Other impairment/problem N.E.C. (1) condition status recode"""
ALTIME91,"""Duration of other impairment/problem N.E.C. (2): Number of units"""
ALUNIT91,"""Duration of other impairment/problem N.E.C. (2): Time unit"""
ALDURA91,"""Duration (in years) of other impairment/ problem N.E.C. (2), recode 1"""
ALDURB91,"""Duration of other impairment/problem N.E.C. (2), recode 2"""
ALCHRC91,"""Other impairment/problem N.E.C. (2) condition status recode"""
ALCNDRT,"""Chronic condition recode for individual with functional limitation"""
ALCHRONR,"""Overall functional limitation recode by condition status"""
SMKEV,"""Ever smoked 100 cigarettes"""
SMKREG,"""Age first smoked fairly regularly"""
SMKNOW,"""Smoke freq: every day/some days/not at all"""
SMKSTAT2,"""Smoking Status: Recode"""
SMKQTNO,"""Time since quit: # of units"""
SMKQTTP,"""Time since quit: time period"""
SMKQTY,"""Time since quit smoking (in years)"""
CIGSDA1,"""Number cigs per day (daily smokers)"""
CIGDAMO,"""Number days smoked in past 30 days"""
CIGSDA2,"""Number cigs per day (some day smokers)"""
CIGSDAY,"""Number of cigarettes a day (all current smokers)"""
CIGQTYR,"""Tried quit smoking 1+ days, past 12 m"""
ECIGEV2,"""Ever used electronic cigarettes (e-cig), even once"""
ECIGCUR2,"""E-cig freq: every day/some days/not at all"""
ECIG30D2,"""Number of days used e-cigarettes, past 30 days"""
CIGAREV2,"""Ever smoked a regular cigar, cigarillo, or little filtered cigar, even once"""
CIGCUR2,"""Smoke freq:every day/some days/not at all-cigars,cigarillos,or lil' filtered cig"""
CIG30D2,"""Number of days smoked cigar, cigarillo, or little filtered cigar, past 30 days"""
PIPEV2,"""Ever smoked pipe filled w/tobacco - either pipe,water pipe,or hookah,even once"""
PIPECUR2,"""Smoke freq: every day/some days/not at all - either pipes,water pipes,or hookahs"""
SMKLSTB1,"""Ever used smokeless tobacco products, even once"""
SMKLSCR2,"""Smokeless tobacco freq: every day/some days/not at all"""
VIGNO,"""Freq vigorous activity: # of units"""
VIGTP,"""Freq vigorous activity: Time units"""
VIGFREQW,"""Freq vigorous activity (times per wk)"""
VIGLNGNO,"""Duration vigorous activity: # units"""
VIGLNGTP,"""Duration vigorous activity: Time unit"""
VIGMIN,"""Duration vigorous activity (in minutes)"""
MODNO,"""Freq moderate activity: # of units"""
MODTP,"""Freq moderate activity: Time units"""
MODFREQW,"""Freq light/moderate activity (times per wk)"""
MODLNGNO,"""Duration moderate activity: # of units"""
MODLNGTP,"""Duration moderate activity: Time unit"""
MODMIN,"""Duration light/moderate activity (in minutes)"""
STRNGNO,"""Strength activity freq: # of units"""
STRNGTP,"""Strength activity freq: Time units"""
STRFREQW,"""Freq strength activity (times per wk)"""
ALC1YR,"""Ever had 12+ drinks in any  one year"""
ALCLIFE,"""Had 12+ drinks in ENTIRE LIFE"""
ALC12MNO,"""Freq drank alcohol pst yr:  # of units"""
ALC12MTP,"""Freq drank alcohol pst yr:  Time unit"""
ALC12MWK,"""Freq drank alcohol: Days per week"""
ALC12MYR,"""Freq drank alcohol: Days in past year"""
ALCAMT,"""Average # drinks on days drank"""
ALCSTAT,"""Alcohol drinking status: Recode"""
ALC5UPN1,"""Days 5+/4+ drinks, past yr: # days"""
ALC5UPT1,"""Days 5+/4+ drinks, past yr: Time unit"""
ALC5UPY1,"""Number of days had 5+/4+ drinks past year"""
BINGE1,"""Number of times had 5+/4+ drinks on AN OCCASION, past 30 days"""
AHEIGHT,"""Total height in inches"""
AWEIGHTP,"""Weight without shoes (pounds)"""
BMI,"""Body Mass Index (BMI)"""
AUSUALPL,"""Place USUALLY go when sick"""
APLKIND,"""Place to go when sick (most often)"""
AHCPLROU,"""USUALLY go there for routine/preventive care"""
AHCPLKND,"""Place USUALLY go for routine/preventive care"""
AHCCHGYR,"""Change health care place, past 12 m"""
AHCCHGHI,"""Change related to health insurance"""
APRVTRYR,"""Trouble finding a doctor/provider, past 12 m"""
APRVTRFD,"""Able to find doctor/provider, past 12 m"""
ADRNANP,"""Doctor's office not accept you as new patient, past 12 m"""
ADRNAI,"""Doctor's office not accept your health insurance, past 12 m"""
AHCDLYR1,"""Couldn't get through on phone, past 12 m"""
AHCDLYR2,"""Couldn't get appointment soon enough, past 12 m"""
AHCDLYR3,"""Wait too long in doctor's office, past 12 m"""
AHCDLYR4,"""Not open when you could go, past 12 m"""
AHCDLYR5,"""No transportation, past 12 m"""
AHCAFYR1,"""Couldn't afford prescription medicine, past 12 m"""
AHCAFYR2,"""Couldn't afford mental health care/counseling, past 12 m"""
AHCAFYR3,"""Couldn't afford dental care, past 12 m"""
AHCAFYR4,"""Couldn't afford eyeglasses, past 12 m"""
AHCAFYR5,"""Couldn't afford to see a specialist, past 12 m"""
AHCAFYR6,"""Couldn't afford follow-up care, past 12 m"""
AWORPAY,"""Get sick or have accident, worried about paying medical bills"""
AHICOMP,"""Health insurance coverage compared to a year ago"""
ARX12MO,"""Prescribed medication by doctor/health professional, past 12 m"""
ARX12_1,"""Skipped medication doses to save money, past 12 m"""
ARX12_2,"""Took less medicine to save money, past 12 m"""
ARX12_3,"""Delayed filling a prescription to save money, past 12 m"""
ARX12_4,"""Asked doctor for lower cost medication to save money, past 12 m"""
ARX12_5,"""Bought prescription drugs from another country to save money, past 12 m"""
ARX12_6,"""Used alternative therapies to save money, past 12 m"""
ADNLONG2,"""Time since last saw a dentist"""
AHCSYR1,"""Seen/talked to mental health professional, past 12 m"""
AHCSYR2,"""Seen/talked to eye doctor, past 12 m"""
AHCSYR3,"""Seen/talked to foot doctor, past 12 m"""
AHCSYR4,"""Seen/talked to a chiropractor, past 12 m"""
AHCSYR5,"""Seen/talked to therapist (PT/OT/etc.), past 12 m"""
AHCSYR6,"""Seen/talked to a NP/PA/midwife, past 12 m"""
AHCSYR7,"""Seen/talked to OB/GYN, past 12 m"""
AHCSYR8,"""Seen/talked to a medical specialist, past 12 m"""
AHCSYR9,"""Seen/talked to a general doctor, past 12 m"""
AHCSYR10,"""Doctor treats both kids and adults"""
AHERNOY2,"""# times in ER/ED, past 12 m"""
AERVISND,"""ER visit at night or on weekend"""
AERHOS,"""ER visit resulted in hospital admission"""
AERREA1R,"""ER visit because didn't have another place to go"""
AERREA2R,"""ER visit because doctors office or clinic was not open"""
AERREA3R,"""ER visit because advised by health provider to go"""
AERREA4R,"""ER visit because problem too serious for doctor's office/clinic"""
AERREA5R,"""ER visit because only hospital could help"""
AERREA6R,"""ER visit because it is closest provider"""
AERREA7R,"""ER visit because it is usual place to get care"""
AERREA8R,"""Arrived at ER by ambulance/other emergency vehicle"""
AHCHYR,"""Received home care from health professional, past 12 m"""
AHCHMOYR,"""# months of home care, past 12 m"""
AHCHNOY2,"""Total number of home visits"""
AHCNOYR2,"""Total number of office visits, past 12 m"""
ASRGYR,"""Surgery/surgical procedure, past 12 m"""
ASRGNOYP,"""# of surgeries, past 12 m"""
AMDLONGR,"""Time since last seen/talked to health professional"""
HIT1A,"""Looked up health information on Internet, past 12 m"""
HIT2A,"""Filled a prescription on Internet, past 12 m"""
HIT3A,"""Scheduled medical appointment on Internet, past 12 m"""
HIT4A,"""Communicated with health care provider by email, past 12 m"""
HIT5A,"""Used chat groups to learn about health topics, past 12 m"""
FLUVACYR,"""Flu vaccination, past 12 m"""
FLUVACTP,"""Administration method of most recent flu vaccine"""
FLUVAC_M,"""Month of most recent flu vaccine"""
FLUVAC_Y,"""Year of most recent flu vaccine"""
FLUSHPG1,"""Flu shot before/during current pregnancy, interviewed Jan-Mar or Aug-Dec, 2017"""
FLUSHPG2,"""Flu shot before/during/after a pregnancy"""
SHTPNUYR,"""Pneumonia shot (EVER)"""
APOX,"""Ever had chickenpox"""
APOX12MO,"""Chickenpox, past 12 m"""
AHEP,"""Ever had hepatitis"""
AHEPLIV,"""Ever lived w/ someone w/ hepatitis"""
AHEPBTST,"""Ever had a blood test for hepatitis B"""
SHTHEPB,"""Hepatitis B vaccine (EVER)"""
SHEPDOS,"""# doses of hepatitis B vaccine received"""
SHTHEPA,"""Hepatitis A vaccine (EVER)"""
SHEPANUM,"""# shots of hepatitis A vaccine received"""
AHEPCTST,"""Ever had a blood test for hepatitis C"""
AHEPCRES,"""Main reason tested for Hepatitis C"""
SHINGLES,"""Ever had the Zoster or Shingles vaccine"""
SHTTD,"""Tetanus shot in the past 10 years"""
SHTTDAP2,"""Vaccine included pertussis/whooping cough"""
SHTHPV2,"""Ever received HPV shot/vaccine"""
SHHPVDOS,"""Number of HPV shots received"""
AHPVAGE,"""Age at first HPV shot"""
LIVEV,"""Ever told you had any kind of chronic/long-term liver condition"""
TRAVEL,"""Ever traveled outside USA since 1995 (Excluding EUR, JPN, AUS, NZL, and CAN)"""
WRKHLTH2,"""Work or volunteer in a health care setting"""
WRKDIR,"""Direct contact with patients"""
APSBPCHK,"""Blood pressure checked by doctor/nurse/health professional, past 12 m"""
APSCHCHK,"""Cholesterol checked by doctor/nurse/health professional, past 12 m"""
APSBSCHK,"""Fasting test for high blood sugar/diabetes, past 12 m"""
APSPAP,"""Pap smear/test, past 12 m"""
APSMAM,"""Mammogram, past 12 m"""
APSCOL,"""Test for colon cancer, past 12 m"""
APSDIET,"""Doctor/health professional talked to you about diet, past 12 m"""
APSSMKC,"""Doctor/health professional talked to you about smoking, past 12 m"""
AINDINS2,"""Tried to purchase health insurance directly, past 3 yrs"""
AINDPRCH,"""Purchased health insurance directly, past 3 yrs"""
AINDWHO,"""For whom was health insurance purchased, past 3 yrs"""
AINDDIF1,"""How difficult to find health insurance for coverage needed, past 3 yrs"""
AINDDIF2,"""How difficult to find affordable health insurance, past 3 yrs"""
AEXCHNG,"""Looked into purchasing health insurance through Healthcare.gov or Marketplace"""
CLAS1,"""Important for providers to understand/share culture"""
CLAS2,"""How often able to see providers who share culture"""
CLAS3,"""How often treated w/ respect by providers"""
CLAS4,"""How often providers ask opinions/beliefs about care"""
CLAS5,"""How often providers give information easy to understand"""
ASICPUSE,"""How often do you use a computer"""
ASISATHC,"""How satisfied with health care, past 12 mo"""
ASITENUR,"""Length of time living in neighborhood"""
ASINHELP,"""Agree/disagree…people in neighborhood help each other"""
ASINCNTO,"""Agree/disagree…people I count on in neighborhood"""
ASINTRU,"""Agree/disagree…people in neighborhood can be trusted"""
ASINKNT,"""Agree/disagree…close-knit neighborhood"""
ASISIM,"""How you think of yourself (sexual orientation; male)"""
ASISIF,"""How do you think of yourself (sexual orientation; female)"""
ASIRETR,"""How worried are you about…money for retirement"""
ASIMEDC,"""How worried are you about…medical costs of illness/accident"""
ASISTLV,"""How worried are you about…maintaining standard of living"""
ASICNHC,"""How worried are you about…medical costs of healthcare"""
ASICCOLL,"""How worried are you about…paying for children's college"""
ASINBILL,"""How worried are you about…paying monthly bills"""
ASIHCST,"""How worried are you about…paying rent/mortgage/housing costs"""
ASICCMP,"""How worried are you about…credit card payments"""
ASISLEEP,"""Hours of sleep"""
ASISLPFL,"""# times having trouble falling asleep, past week"""
ASISLPST,"""# times having trouble staying asleep, past week"""
ASISLPMD,"""# times taking medication for sleep, past week"""
ASIREST,"""Days woke up feeling rested, past week"""
ASISAD,"""So sad nothing cheers you up, past 30 days"""
ASINERV,"""How often felt nervous, past 30 days"""
ASIRSTLS,"""How often restless/fidgety, past 30 days"""
ASIHOPLS,"""How often felt hopeless, past 30 days"""
ASIEFFRT,"""How often felt everything was an effort, past 30 days"""
ASIWTHLS,"""How often felt worthless, past 30 days"""
ASIMUCH,"""Feelings interfered w/ life, past 30 days"""
ASIHIVT,"""Ever been tested for HIV"""
ASIHIVWN,"""Main reason not tested for HIV"""
NAT_USM1,"""Saw a practitioner for naturopathy, past 12 months"""
CHE_USM1,"""Saw a practitioner for chelation therapy, past 12 months"""
TRD_USM1,"""Saw a practitioner for Traditional Medicine, past 12 months"""
TR_USM21,"""Saw a Shaman, past 12 months"""
TR_USM22,"""Saw a Curandero, Machi or Parchero, past 12 months"""
TR_USM23,"""Saw a Yerbero or Hierbista, past 12 months"""
TR_USM24,"""Saw a Sobador, past 12 months"""
TR_USM25,"""Saw a Native American Healer or Medicine Man, past 12 months"""
TR_USM26,"""Other Traditional Healer, past 12 months"""
HOM_USM1,"""Saw a practitioner for homeopathy, past 12 months"""
MBO_MAN1,"""Used mantra meditation, past 12 months"""
MBO_MND1,"""Used mindfulness meditation, past 12 months"""
MBO_SPR1,"""Used spiritual meditation, past 12 months"""
MBO_IMG1,"""Used guided imagery, past 12 months"""
MBO_PRO1,"""Used progressive relaxation, past 12 months"""
YTQU_YG1,"""Practiced yoga, past 12 months"""
YTQ_BTY1,"""Did breathing exercises as part of yoga"""
YTQ_MDY1,"""Did meditation as part of yoga"""
YTQU_TA1,"""Practiced tai chi, past 12 months"""
YTQ_BTT1,"""Did breathing exercises as part of tai chi"""
YTQ_MDT1,"""Did meditation as part of tai chi"""
YTQU_QG1,"""Practiced qi gong, past 12 months"""
YTQ_BTQ1,"""Did breathing exercises as part of qi gong"""
YTQ_MDQ1,"""Did meditation as part of qi gong"""
AWEBUSE,"""Internet use"""
AWEBOFNO,"""Frequency internet use: # of units"""
AWEBOFTP,"""Frequency internet use: Time units"""
AWEBEML,"""Email use"""
AWEBMNO,"""Frequency email use: # of units"""
AWEBMTP,"""Frequency email use: Time units"""